date,Draw,France,Ireland
2015-02-14 18:35:11.520,8.508807,29.98698,455.2024
2015-02-14 18:35:32.583,6.181317,52.29907,19561.53
2015-02-14 18:35:49.137,19.5009,65.24466,22583.93
2015-02-14 18:36:05.421,134.1152,40.52931,1335.809
2015-02-14 18:36:21.489,112.0234,0,839.5031
2015-02-14 18:36:37.582,261.5769,94.25119,6187.956
2015-02-14 18:36:54.034,315.6948,172.5818,7039.054
2015-02-14 18:37:10.352,306.9389,231.8955,4296.997
2015-02-14 18:37:26.332,403.4152,284.6886,9956.441
2015-02-14 18:37:42.352,434.3503,0,4511.407
2015-02-14 18:37:58.205,573.9879,296.7206,9826.903
2015-02-14 18:38:14.584,314.3306,115.9005,4316.158
2015-02-14 18:38:30.708,662.2147,179.3591,11140.02
2015-02-14 18:38:46.629,372.463,74.01775,14504.16
2015-02-14 18:39:02.696,697.7752,128.6879,36383.42
2015-02-14 18:39:18.753,148.4971,0,1850.272
2015-02-14 18:39:34.654,716.2785,204.7373,39701.14
2015-02-14 18:40:18.140,284.642,124.1083,5273.575
2015-02-14 18:40:34.114,285.6548,23.21297,39055.15
2015-02-14 18:40:50.108,661.5059,51.73055,6113.659
2015-02-14 18:41:06.177,358.1622,119.2256,12046.04
2015-02-14 18:41:22.352,1325.52,367.0932,28021.98
2015-02-14 18:41:38.291,188.1078,85.264,8112.013
2015-02-14 18:41:54.328,408.0554,56.64214,21473.32
2015-02-14 18:42:10.690,564.0489,95.04712,40492.64
2015-02-14 18:42:26.675,549.8471,178.4526,9746.535
2015-02-14 18:42:42.885,1245.663,149.4204,2094.254
2015-02-14 18:42:58.785,617.4174,316.8033,7640.527
2015-02-14 18:43:14.662,137.9341,75.88265,1997.512
2015-02-14 18:43:30.526,409.2549,127.8331,11343.94
2015-02-14 18:43:46.496,60.6026,23.14396,1404.455
2015-02-14 18:44:02.573,167.1165,16.60716,381.1809
2015-02-14 18:44:18.617,244.1317,32.68552,3326.032
2015-02-14 18:44:34.572,127.8598,43.84838,168.9253
2015-02-14 18:44:50.626,270.7345,13.41713,4369.162
2015-02-14 18:45:06.599,150.3308,75.69129,4925.118
2015-02-14 18:45:25.909,227.5112,37.62853,954.1986
2015-02-14 18:45:42.011,938.9895,52.83889,14027.9
2015-02-14 18:45:58.247,258.1624,14.96647,3245.545
2015-02-14 18:46:14.442,462.2227,0,83.28603
2015-02-14 18:46:30.264,512.5247,24.68582,1532.682
2015-02-14 18:46:46.177,51.35564,0.3393544,9195.6
2015-02-14 18:47:02.338,185.7853,59.88644,5135.643
2015-02-14 18:47:18.813,281.2905,10.19696,5175.723
2015-02-14 18:47:34.733,172.8444,0.6030332,3930.646
2015-02-14 18:47:50.615,60.44594,88.81776,6251.811
2015-02-14 18:48:06.635,29.96157,0,1466.094
2015-02-14 18:48:22.680,43.30382,29.91628,10148.16
2015-02-14 18:48:38.856,28.3002,0.03709069,31396.12
2015-02-14 18:48:54.771,18.85011,0,2910.156
2015-02-14 18:49:10.845,0,0,0
2015-02-14 18:49:26.601,0,0,0
2015-02-14 18:49:42.682,0,0,0
2015-02-14 18:49:58.591,0,0,0
