date,AnaIvanovic,BethanieMattekSands
2015-07-01 19:00:18.350,10.15228,89.84772
2015-07-01 19:00:31.009,10.52632,89.47368
2015-07-01 19:00:43.421,11.62791,88.37209
2015-07-01 19:00:55.797,10.41667,89.58333
2015-07-01 19:01:08.141,10.41667,89.58333
2015-07-01 19:01:20.790,11.62791,88.37209
2015-07-01 19:01:32.734,12.65823,87.34177
2015-07-01 19:01:44.792,12.82051,87.17949
2015-07-01 19:01:56.533,12.34568,87.65432
2015-07-01 19:02:08.577,12.34568,87.65432
2015-07-01 19:02:20.557,12.98701,87.01299
2015-07-01 19:02:32.506,12.82051,87.17949
2015-07-01 19:02:44.435,12.65823,87.34177
2015-07-01 19:02:56.380,12.65823,87.34177
2015-07-01 19:03:08.161,11.97605,88.02395
2015-07-01 19:03:20.212,7.142857,92.85714
2015-07-01 19:03:32.268,10.4712,89.5288
2015-07-01 19:03:44.179,0.2030457,99.79695
2015-07-01 19:03:56.138,6.060606,93.93939
2015-07-01 19:04:08.162,6.25,93.75
2015-07-01 19:04:20.130,2.631579,97.36842
2015-07-01 19:04:31.959,2.380952,97.61905
2015-07-01 19:04:44.003,4.040404,95.9596
2015-07-01 19:04:56.172,4.210526,95.78947
2015-07-01 19:05:08.234,4.395604,95.6044
2015-07-01 19:05:20.124,7.8125,92.1875
2015-07-01 19:05:31.996,14.49275,85.50725
2015-07-01 19:05:43.983,17.46725,82.53275
2015-07-01 19:05:55.981,19.9005,80.0995
2015-07-01 19:06:08.008,6.451613,93.54839
2015-07-01 19:06:19.926,7.017544,92.98246
2015-07-01 19:06:31.826,9.708738,90.29126
2015-07-01 19:06:43.769,4.210526,95.78947
2015-07-01 19:06:55.734,14.08451,85.91549
2015-07-01 19:07:08.128,14.49275,85.50725
2015-07-01 19:07:19.950,4.210526,95.78947
2015-07-01 19:07:31.952,7.017544,92.98246
2015-07-01 19:07:43.954,2.5,97.5
