date,Draw,England,South Africa
2014-11-15 16:11:15.125,98.40965,361.3302,5759.162
2014-11-15 16:11:35.707,278.6956,281.1152,15048.66
2014-11-15 16:11:56.334,209.3994,46.48149,18357.63
2014-11-15 16:12:17.200,3.939484,37.2957,17217.1
2014-11-15 16:12:37.869,101.9796,167.4986,15331.72
2014-11-15 16:12:58.530,45.07083,123.4511,6463.888
2014-11-15 16:13:21.907,106.3586,39.73047,10769.29
2014-11-15 16:13:42.450,59.20477,87.62422,16114.74
2014-11-15 16:14:03.160,276.8105,31.40372,14735.13
2014-11-15 16:14:23.767,11.64688,5.823439,43905.5
2014-11-15 16:14:44.453,36.98165,39.79516,30001
2014-11-15 16:15:05.442,13.72165,89.24788,19752.85
2014-11-15 16:15:26.551,33.17056,73.16282,26259.48
2014-11-15 16:15:47.355,11.53612,14.53551,19011.29
2014-11-15 16:16:08.646,46.44279,53.74175,11711.33
2014-11-15 16:16:29.405,4.56649,32.45676,13750.51
2014-11-15 16:16:50.359,46.44509,100.2492,5817.605
2014-11-15 16:17:11.187,35.28972,69.85924,5558.001
2014-11-15 16:17:31.953,138.6278,103.0029,19917.41
2014-11-15 16:17:53.053,223.1145,32.58849,33626.34
2014-11-15 16:18:13.710,890.5572,85.91593,27756.19
2014-11-15 16:18:34.505,305.7046,125.7154,11357.12
2014-11-15 16:18:55.867,701.1158,314.8308,121160.7
2014-11-15 16:19:16.687,0,0,2061.657
2014-11-15 16:19:37.411,101.5071,121.0789,59666.92
2014-11-15 16:19:58.132,0,11.58261,58151.99
2014-11-15 16:20:18.714,0,11.66043,0
2014-11-15 16:20:39.486,0,0,0
2014-11-15 16:21:00.161,0,0,0
2014-11-15 16:21:20.713,0,0,0
