date,C Palace,Stoke,The Draw
2014-12-13 16:31:57.585,641.0484,481.5422,153.9398
2014-12-13 16:32:18.206,542.6873,125.0296,301.9391
2014-12-13 16:32:38.824,873.9445,317.4091,2179.463
2014-12-13 16:33:00.172,325.3761,23.88958,6362.301
2014-12-13 16:33:20.789,1087.211,25.81391,572.126
2014-12-13 16:33:41.355,86.79191,53.82557,2011.53
2014-12-13 16:34:02.680,89.83781,45.24247,616.9632
2014-12-13 16:34:23.312,3.605984,11.66129,269.1111
2014-12-13 16:34:43.950,355.5419,129.7267,2460.01
2014-12-13 16:35:04.525,329.1661,122.7957,823.615
2014-12-13 16:35:25.287,141.3205,6.733678,5129.415
2014-12-13 16:35:45.914,26.58568,32.75216,2578.782
2014-12-13 16:36:06.672,123.0751,425.56,28216.48
2014-12-13 16:36:27.347,36.33392,17.70263,5934.676
2014-12-13 16:36:47.984,792.3673,122.0838,4520.474
2014-12-13 16:37:09.553,56.74693,0,6992.056
2014-12-13 16:37:30.880,18.08973,5.682933,731.0446
2014-12-13 16:37:51.778,169.9997,131.3543,7447.313
2014-12-13 16:38:12.425,105.1091,179.6184,796.7023
2014-12-13 16:38:33.554,37.34264,24.4218,1174.433
2014-12-13 16:38:54.190,85.8295,60.06902,493.8685
2014-12-13 16:39:14.869,24.28615,43.08832,4798.588
2014-12-13 16:39:35.885,229.0494,532.0695,2804.521
2014-12-13 16:39:56.693,33.50712,25.89448,10104.01
2014-12-13 16:40:17.501,103.4856,22.98077,4166.325
2014-12-13 16:40:38.259,52.0568,4.248945,1478.98
2014-12-13 16:40:59.022,24.67884,111.4593,3227.928
2014-12-13 16:41:31.998,139.3937,221.7818,5506.498
2014-12-13 16:41:52.647,178.9583,52.15621,13394.99
2014-12-13 16:42:13.387,96.77012,85.31392,897.1125
2014-12-13 16:42:34.658,31.16945,15.40137,2484.275
2014-12-13 16:42:55.422,91.1674,29.61857,2479.955
2014-12-13 16:43:16.322,116.8708,13.66507,2796.458
2014-12-13 16:43:37.058,49.30517,151.6192,3862.701
2014-12-13 16:43:57.824,70.06787,68.27645,1558.656
2014-12-13 16:44:18.611,80.81983,630.3081,4416.313
2014-12-13 16:44:39.256,0,448.5748,1861.084
2014-12-13 16:45:00.545,12.14704,11.10425,843.9231
2014-12-13 16:45:21.225,27.56302,20.7448,2002.033
2014-12-13 16:45:42.055,14.05674,443.133,2453.737
2014-12-13 16:46:03.008,9.907775,30.66829,2056.751
2014-12-13 16:46:24.642,4.271114,3.355875,8139.023
2014-12-13 16:46:45.706,2.791518,4.50061,1312.697
2014-12-13 16:47:06.649,10.39949,115.082,3299.59
2014-12-13 16:47:27.632,56.78872,60.47741,7474.751
2014-12-13 16:47:48.642,21.84645,23.78835,4660.518
2014-12-13 16:48:09.525,0,0,1902.056
2014-12-13 16:48:30.423,0,0,380.0173
2014-12-13 16:48:51.351,0,0,5296.532
2014-12-13 16:49:11.975,0,0.5527375,5787.191
2014-12-13 16:49:32.580,0,0,908.1291
2014-12-13 16:49:53.183,11.47411,8.474536,7899.753
2014-12-13 16:50:13.864,21.73001,14.94119,6747.935
2014-12-13 16:50:34.598,7.72649,6.192768,658.5458
2014-12-13 16:51:01.172,20.25304,10.47649,7015.522
2014-12-13 16:51:22.053,0,0,100.0787
2014-12-13 16:51:50.133,0,0,0
2014-12-13 16:52:10.976,0,0,0
2014-12-13 16:52:31.772,0,0,0
