date,Arsenal,The Draw,Tottenham
2015-02-07 14:22:03.109,18.98652,62.77447,18.86792
2015-02-07 14:22:18.937,18.87534,63.07946,18.14023
2015-02-07 14:22:35.021,18.57087,63.24025,18.53547
2015-02-07 14:22:50.750,18.4134,63.16367,18.35914
2015-02-07 14:23:06.506,17.86553,63.693,18.99012
2015-02-07 14:23:22.309,16.62397,64.89047,18.46928
2015-02-07 14:23:38.341,17.0799,64.96178,17.81289
2015-02-07 14:23:54.226,16.94656,65.64499,17.9169
2015-02-07 14:24:09.903,17.10362,66.05934,17.24138
2015-02-07 14:24:25.755,15.8507,66.22517,17.19506
2015-02-07 14:24:41.522,16.00277,67.11409,16.99973
2015-02-07 14:24:57.255,16.65102,67.44193,16.34006
2015-02-07 14:25:13.558,16.17076,67.82182,15.97218
2015-02-07 14:25:34.181,15.25102,68.67256,15.52476
2015-02-07 14:25:54.022,14.80319,69.63232,15.63078
2015-02-07 14:26:09.877,14.59828,69.81189,14.90228
2015-02-07 14:26:26.386,15.10012,70.59902,14.10876
2015-02-07 14:26:42.397,14.63164,70.85394,14.17572
2015-02-07 14:26:58.082,14.30693,71.2885,14.05558
2015-02-07 14:27:13.899,14.01441,71.85409,13.98741
2015-02-07 14:27:29.617,14.25902,72.23616,13.47568
2015-02-07 14:27:45.274,13.88889,72.8704,12.74121
2015-02-07 14:28:01.702,12.79114,73.85147,12.97628
2015-02-07 14:28:19.417,12.32885,75.18428,12.75343
2015-02-07 14:28:35.050,11.96394,75.67296,12.17875
2015-02-07 14:28:50.906,11.44059,76.09238,12.68252
2015-02-07 14:29:06.637,11.11111,76.39747,12.22772
2015-02-07 14:29:22.502,11.11111,76.39747,12.22772
2015-02-07 14:29:38.230,11.11111,76.39747,12.22772
2015-02-07 14:29:54.120,11.11111,22.22222,30.80615
2015-02-07 14:30:09.908,11.11111,12.44792,87.09356
2015-02-07 14:30:26.111,0.4613715,12.6062,87.25904
2015-02-07 14:30:43.501,0.3596575,12.14224,87.5386
2015-02-07 14:30:59.339,0.3591293,11.88025,87.86316
2015-02-07 14:31:15.312,0.3615437,11.50348,88.2625
2015-02-07 14:31:31.093,0.35557,11.56544,88.18382
2015-02-07 14:31:47.652,0.3561334,11.50212,88.30472
2015-02-07 14:32:03.613,0.3598711,11.12267,88.28616
