date,Gael Monfils,Roger Federer
2014-11-21 17:13:39.367,24951.45,659.2375
2014-11-21 17:13:55.277,23009,296.531
2014-11-21 17:14:11.625,8890.217,103.5709
2014-11-21 17:14:29.706,52118.88,215.0992
2014-11-21 17:14:45.547,28476.39,2976.346
2014-11-21 17:15:01.589,5471.648,869.8953
2014-11-21 17:15:17.521,20002.76,2632.145
2014-11-21 17:15:33.223,16967.52,3929.321
2014-11-21 17:15:49.285,55694.43,980.7506
2014-11-21 17:16:05.590,24494.24,562.5937
2014-11-21 17:16:22.170,14618.88,1219.793
2014-11-21 17:16:43.037,14204.61,285.8715
2014-11-21 17:16:59.306,100836.9,2441.816
2014-11-21 17:17:15.202,29761.99,502.273
2014-11-21 17:17:31.757,48473.62,30.95075
2014-11-21 17:17:47.359,5954.38,19.95972
2014-11-21 17:18:02.971,17713.83,1183.223
2014-11-21 17:18:18.836,2142.339,61.19348
2014-11-21 17:18:34.853,57429.01,359.0568
2014-11-21 17:18:50.864,131202.7,94.39771
2014-11-21 17:19:06.966,70592.48,37.67194
2014-11-21 17:19:22.696,40001.12,1375.953
2014-11-21 17:19:38.423,59910.17,1957.181
2014-11-21 17:19:54.306,96922.28,7791.634
2014-11-21 17:20:10.228,63899.87,3488.539
2014-11-21 17:20:26.119,77749.51,2611.373
2014-11-21 17:20:42.571,28602.84,2106.903
2014-11-21 17:20:58.632,55330.72,1869.49
2014-11-21 17:21:14.599,26384.35,1597.038
2014-11-21 17:21:30.613,55541.76,2099.313
2014-11-21 17:21:46.373,4296.135,43.2111
2014-11-21 17:22:02.263,44982.25,2420.176
2014-11-21 17:22:18.242,31079.09,410.7116
2014-11-21 17:22:34.205,21032.27,153.7702
2014-11-21 17:22:50.657,40667.09,1161.15
2014-11-21 17:23:06.490,14230.89,774.7557
2014-11-21 17:23:22.169,7344.836,2269.128
2014-11-21 17:23:38.751,40657.12,1966.484
2014-11-21 17:23:54.342,44141.16,468.5927
2014-11-21 17:24:10.027,44882.72,2910.78
2014-11-21 17:24:25.976,92747.23,150.9349
2014-11-21 17:24:43.159,7503.831,202.2372
2014-11-21 17:24:58.917,83468.56,23.95014
2014-11-21 17:25:14.887,16113.87,378.6642
2014-11-21 17:25:30.797,55797.77,1979.97
2014-11-21 17:25:46.646,9278.834,1408.756
2014-11-21 17:26:02.381,37584.42,2822.944
2014-11-21 17:26:18.518,116581,325.3322
2014-11-21 17:26:34.138,63485.14,2701.439
2014-11-21 17:26:49.809,181040.4,2411.037
2014-11-21 17:27:05.771,93507.86,1398.162
2014-11-21 17:27:21.619,67816.54,154.9584
2014-11-21 17:27:37.421,46197.93,892.9898
2014-11-21 17:27:53.561,37179.08,813.4089
2014-11-21 17:28:09.128,10488.21,1518.156
2014-11-21 17:28:24.754,44165.4,14688.22
2014-11-21 17:28:40.302,64208.34,1404.462
2014-11-21 17:28:56.035,42511.02,486.2955
2014-11-21 17:29:11.819,42653.86,885.5788
2014-11-21 17:29:27.571,151437.1,4271.261
2014-11-21 17:29:44.208,49493.75,947.3317
2014-11-21 17:30:00.031,5915.055,783.9617
2014-11-21 17:30:15.862,46235.29,1117.714
2014-11-21 17:30:31.659,38260.76,1135.297
2014-11-21 17:30:47.348,44188.49,3863.641
2014-11-21 17:31:03.523,122596.1,402.5943
2014-11-21 17:31:19.446,67770.19,943.9111
2014-11-21 17:31:35.204,82120.34,204.0969
2014-11-21 17:31:50.965,10703.22,644.4925
2014-11-21 17:32:10.387,22410.89,346.6093
2014-11-21 17:32:26.110,22062.92,932.2984
2014-11-21 17:32:41.750,22219.17,809.3675
2014-11-21 17:32:57.318,2659.848,337.8141
2014-11-21 17:33:12.957,5326.171,0
2014-11-21 17:33:28.554,33802.72,744.3615
2014-11-21 17:33:44.677,1236.056,197.19
2014-11-21 17:34:00.354,24555.75,937.8055
2014-11-21 17:34:15.970,16752.46,176.7765
2014-11-21 17:34:31.529,65629.34,762.5418
2014-11-21 17:34:48.301,33626.99,1451.535
2014-11-21 17:35:03.920,21100.24,687.6767
2014-11-21 17:35:19.827,102406,3686.391
2014-11-21 17:35:35.518,15127.46,4321.737
2014-11-21 17:35:52.013,127874.1,2318.803
2014-11-21 17:36:07.730,103433.6,1183.363
2014-11-21 17:36:30.279,94783.33,281.2559
2014-11-21 17:36:45.970,99877.98,1481.045
2014-11-21 17:37:01.638,6616.583,77.04522
2014-11-21 17:37:17.398,35373.69,73.17597
2014-11-21 17:37:33.291,13225.48,62.59052
2014-11-21 17:37:49.039,68954.45,297.1569
2014-11-21 17:38:05.414,19565.49,819.4009
2014-11-21 17:38:21.265,62811.76,1308.543
2014-11-21 17:38:36.987,48644.72,122.9245
2014-11-21 17:38:53.124,20860.16,209.558
2014-11-21 17:39:08.989,48709.34,37.47783
2014-11-21 17:39:24.968,32968.44,402.3028
2014-11-21 17:39:40.699,292704.8,258.3682
2014-11-21 17:39:56.410,48158.36,53.54158
2014-11-21 17:40:12.202,14668.41,768.4581
2014-11-21 17:40:28.006,120566.8,294.9921
2014-11-21 17:40:43.748,85098.65,155.3886
2014-11-21 17:40:59.359,37383.71,372.1145
2014-11-21 17:41:15.514,294667.7,1712.124
2014-11-21 17:41:31.807,88328.65,4673.587
2014-11-21 17:41:47.545,51242.61,3849.651
2014-11-21 17:42:03.115,65368.03,1407.981
2014-11-21 17:42:18.790,26747.87,1319.072
2014-11-21 17:42:34.627,28499.92,165.8624
2014-11-21 17:42:50.605,70464.11,1845.35
2014-11-21 17:43:06.430,13516.59,562.7013
2014-11-21 17:43:22.183,34701.46,302.1098
2014-11-21 17:43:38.458,65787.06,411.2481
2014-11-21 17:43:54.122,88638.23,35.54639
2014-11-21 17:44:09.773,48739.2,23.00221
2014-11-21 17:44:25.912,114961.5,1892.049
2014-11-21 17:44:41.849,17125.71,42.69266
2014-11-21 17:44:57.570,23277.5,1058.611
